0,O/G Steam
1,Combustion Turbine
2,Hydro
3,Non-Fossil Waste
4,Coal Steam
5,Municipal Solid Waste
6,Geothermal
7,Combined Cycle
8,IGCC
9,Biomass
10,Fossil Waste
11,Onshore Wind
12,Landfill Gas
13,Pumped Storage
14,Solar PV
15,Solar Thermal
16,Tires
17,Energy Storage
18,Nuclear
19,Fuel Cell
20,Offshore Wind
