NukeEarlyRetireYear,pca,tech,coolingwatertech,cap
2022.0,p116,CoalOldScr,dum,1288.0
2022.0,p12,o-g-s,dum,113.0
2022.0,p131,o-g-s,dum,571.0
2022.0,p31,o-g-s,dum,91.0
2022.0,p34,CoalOldScr,dum,325.0
2022.0,p36,CoalOldScr,dum,75.0
2022.0,p36,CoalOldUns,dum,30.0
2022.0,p37,CoalOldScr,dum,1141.0
2022.0,p43,CoalOldScr,dum,682.0
2022.0,p59,o-g-s,dum,74.0
2022.0,p69,gas-CT,dum,3.7
2022.0,p70,CoalOldUns,dum,214.0
2022.0,p72,CoalOldUns,dum,594.0
2022.0,p72,o-g-s,dum,239.0
2022.0,p77,CoalOldScr,dum,290.0
2022.0,p82,CoalOldUns,dum,555.0
2023.0,p101,o-g-s,dum,75.0
2023.0,p103,CoalOldScr,dum,515.0
2023.0,p105,CoalOldScr,dum,1625.0
2023.0,p107,CoalOldScr,dum,983.0
2023.0,p118,gas-CT,dum,80.0
2023.0,p127,gas-CT,dum,413.79999999999995
2023.0,p79,CoalOldScr,dum,398.0
2023.0,p99,CoalOldScr,dum,1006.0
2024.0,p101,CoalOldScr,dum,342.0
2024.0,p41,o-g-s,dum,241.6
2024.0,p59,o-g-s,dum,102.0
2024.0,p82,CoalOldScr,dum,188.0
2024.0,p92,CoalOldScr,dum,870.0
2024.0,p97,CoalOldScr,dum,582.0
2025.0,p25,CoalOldScr,dum,1800.0
2025.0,p54,o-g-s,dum,12.4
2026.0,p12,CoalOldScr,dum,268.0
2026.0,p12,CoalOldUns,dum,254.0
2026.0,p12,o-g-s,dum,113.0
2026.0,p2,coal-new,dum,670.0
2026.0,p34,CoalOldScr,dum,335.0
2026.0,p43,CoalOldScr,dum,680.0
2026.0,p51,CoalOldUns,dum,460.0
2027.0,p24,CoalOldScr,dum,550.0
2027.0,p24,CoalOldUns,dum,210.0
2028.0,p107,CoalOldUns,dum,1300.0
2028.0,p43,CoalOldScr,dum,511.0
2028.0,p85,CoalOldUns,dum,1632.0
2029.0,p127,nuclear,dum,626.0
2029.0,p21,CoalOldScr,dum,357.0
2029.0,p21,o-g-s,dum,330.0
2029.0,p97,CoalOldScr,dum,516.0
2030.0,p106,gas-CT,dum,288.0
2030.0,p127,nuclear,dum,582.0
2030.0,p48,o-g-s,dum,244.0
2030.0,p75,nuclear,dum,598.1
2030.0,p80,nuclear,dum,902.0
2030.0,p85,CoalOldUns,dum,1678.0
2031.0,p43,nuclear,dum,617.0
2031.0,p48,o-g-s,dum,243.0
2031.0,p80,nuclear,dum,895.0
2031.0,p96,nuclear,dum,741.0
2032.0,p102,nuclear,dum,802.0
2032.0,p104,nuclear,dum,783.5
2032.0,p75,nuclear,dum,597.9
2032.0,p81,nuclear,dum,1819.0
2032.0,p99,nuclear,dum,838.0
2033.0,p102,nuclear,dum,802.0
2033.0,p127,nuclear,dum,1012.1
2033.0,p95,nuclear,dum,847.0
2033.0,p99,nuclear,dum,838.0
2034.0,p122,nuclear,dum,2493.8
2034.0,p41,nuclear,dum,771.5
2034.0,p43,CoalOldScr,dum,876.0
2034.0,p43,nuclear,dum,1040.0
2034.0,p48,o-g-s,dum,243.0
2034.0,p85,nuclear,dum,833.3
2034.0,p89,nuclear,dum,1265.5
2034.0,p95,nuclear,dum,1707.0
2035.0,p104,nuclear,dum,1009.0
2035.0,p123,nuclear,dum,866.0
2035.0,p132,nuclear,dum,867.8
2035.0,p70,nuclear,dum,601.4
2035.0,p89,nuclear,dum,1268.4
2035.0,p94,nuclear,dum,876.0
2035.0,p98,nuclear,dum,932.0
2036.0,p102,nuclear,dum,981.0
2036.0,p115,nuclear,dum,907.0
2036.0,p127,nuclear,dum,1892.3000000000002
2037.0,p111,nuclear,dum,894.0
2037.0,p123,nuclear,dum,841.8
2037.0,p126,nuclear,dum,1170.2
2037.0,p48,CoalOldUns,dum,1067.0
2037.0,p89,nuclear,dum,1269.6
2037.0,p90,nuclear,dum,874.0
2037.0,p98,nuclear,dum,938.0
2038.0,p104,nuclear,dum,1060.0
2038.0,p99,nuclear,dum,948.0
2039.0,p94,nuclear,dum,883.0
2040.0,p85,nuclear,dum,984.5
2040.0,p99,nuclear,dum,944.0
2041.0,p126,nuclear,dum,1158.0
2041.0,p90,nuclear,dum,883.0
2041.0,p92,nuclear,dum,1152.0
2041.0,p97,nuclear,dum,1158.0
2042.0,p92,nuclear,dum,1125.7
2043.0,p102,nuclear,dum,987.0
2043.0,p122,nuclear,dum,1247.0
2044.0,p2,nuclear,dum,1180.0
2044.0,p72,nuclear,dum,1190.0
2044.0,p80,nuclear,dum,2269.3
2044.0,p96,nuclear,dum,971.0
2044.0,p97,nuclear,dum,1157.6
2045.0,p122,nuclear,dum,1247.0
2045.0,p53,nuclear,dum,1175.0
2045.0,p58,nuclear,dum,1165.4
2045.0,p80,nuclear,dum,1164.0
2045.0,p87,nuclear,dum,1401.0
2045.0,p9,nuclear,dum,1122.0
2045.0,p95,nuclear,dum,1160.1
2046.0,p122,nuclear,dum,1119.7
2046.0,p126,nuclear,dum,1190.0
2046.0,p132,nuclear,dum,1220.0
2046.0,p28,nuclear,dum,2625.0
2046.0,p58,nuclear,dum,967.5
2046.0,p9,nuclear,dum,1118.0
2046.0,p95,nuclear,dum,1150.1
2047.0,p111,nuclear,dum,1240.0
2047.0,p115,nuclear,dum,901.0
2047.0,p127,nuclear,dum,1287.0
2047.0,p80,nuclear,dum,1136.0
2047.0,p83,nuclear,dum,1065.0
2047.0,p94,nuclear,dum,1150.0
2047.0,p98,nuclear,dum,932.0
