tech,coolingwatertech,pca,cap
gas-CC,dum,p101,14497.800000000001
gas-CC,dum,p102,6859.0
gas-CC,dum,p103,3154.8
gas-CC,dum,p104,1064.8000000000002
gas-CC,dum,p105,1115.0
gas-CC,dum,p106,264.0
gas-CC,dum,p107,1080.0
gas-CC,dum,p11,1329.0
gas-CC,dum,p111,23.4
gas-CC,dum,p112,2828.0
gas-CC,dum,p115,1415.0
gas-CC,dum,p12,657.0
gas-CC,dum,p122,6595.699999999999
gas-CC,dum,p123,230.0
gas-CC,dum,p125,1196.0
gas-CC,dum,p126,5822.5
gas-CC,dum,p127,6310.500000000001
gas-CC,dum,p128,717.8
gas-CC,dum,p13,4248.0
gas-CC,dum,p130,1231.0
gas-CC,dum,p131,5562.700000000001
gas-CC,dum,p132,1982.7999999999997
gas-CC,dum,p133,1780.2000000000003
gas-CC,dum,p134,1254.0
gas-CC,dum,p14,248.0
gas-CC,dum,p2,1899.5
gas-CC,dum,p25,1201.0
gas-CC,dum,p27,1120.0
gas-CC,dum,p28,8749.1
gas-CC,dum,p30,8.3
gas-CC,dum,p31,869.6
gas-CC,dum,p33,2016.5
gas-CC,dum,p34,460.0
gas-CC,dum,p40,220.0
gas-CC,dum,p41,122.6
gas-CC,dum,p43,1849.2
gas-CC,dum,p45,505.09999999999997
gas-CC,dum,p47,562.0
gas-CC,dum,p48,553.0
gas-CC,dum,p5,2457.2
gas-CC,dum,p50,3593.8999999999996
gas-CC,dum,p51,2734.3999999999996
gas-CC,dum,p53,149.0
gas-CC,dum,p54,850.5
gas-CC,dum,p55,495.0
gas-CC,dum,p56,162.0
gas-CC,dum,p57,916.6
gas-CC,dum,p58,4971.099999999999
gas-CC,dum,p59,367.0
gas-CC,dum,p6,490.0
gas-CC,dum,p60,322.0
gas-CC,dum,p62,1466.0
gas-CC,dum,p63,9629.099999999999
gas-CC,dum,p64,5004.8
gas-CC,dum,p65,5295.3
gas-CC,dum,p66,2632.0999999999995
gas-CC,dum,p67,6929.6
gas-CC,dum,p68,330.0
gas-CC,dum,p70,560.6
gas-CC,dum,p72,27.8
gas-CC,dum,p76,608.1
gas-CC,dum,p78,697.9
gas-CC,dum,p79,1443.0
gas-CC,dum,p80,1344.5000000000002
gas-CC,dum,p81,1032.2
gas-CC,dum,p83,610.4
gas-CC,dum,p84,420.0
gas-CC,dum,p85,4457.5
gas-CC,dum,p86,1405.5
gas-CC,dum,p87,3709.3
gas-CC,dum,p88,3010.0
gas-CC,dum,p89,1474.0
gas-CC,dum,p9,6788.000000000002
gas-CC,dum,p90,7300.4000000000015
gas-CC,dum,p91,740.9
gas-CC,dum,p94,5487.7
gas-CC,dum,p95,546.0
gas-CC,dum,p96,1863.0
gas-CC,dum,p97,476.8
gas-CC,dum,p98,826.0
gas-CC,dum,p99,3427.8
gas-CT,dum,p1,670.7
gas-CT,dum,p10,3593.3999999999987
gas-CT,dum,p101,5518.799999999999
gas-CT,dum,p102,1287.3999999999996
gas-CT,dum,p103,3992.2
gas-CT,dum,p104,71.8
gas-CT,dum,p105,1460.9
gas-CT,dum,p106,604.0
gas-CT,dum,p107,1397.1000000000001
gas-CT,dum,p108,58.0
gas-CT,dum,p109,3214.9
gas-CT,dum,p11,411.4
gas-CT,dum,p110,825.0
gas-CT,dum,p111,1414.6999999999998
gas-CT,dum,p112,2545.300000000003
gas-CT,dum,p113,780.8
gas-CT,dum,p114,1309.0
gas-CT,dum,p115,806.4
gas-CT,dum,p116,332.29999999999995
gas-CT,dum,p117,750.0
gas-CT,dum,p118,335.3
gas-CT,dum,p12,443.20000000000005
gas-CT,dum,p120,118.29999999999998
gas-CT,dum,p122,2231.999999999999
gas-CT,dum,p123,2443.7
gas-CT,dum,p124,389.9
gas-CT,dum,p125,379.3
gas-CT,dum,p126,2028.6
gas-CT,dum,p127,2960.7000000000035
gas-CT,dum,p128,2093.8000000000006
gas-CT,dum,p129,97.89999999999999
gas-CT,dum,p13,1053.0
gas-CT,dum,p130,87.0
gas-CT,dum,p131,850.1999999999995
gas-CT,dum,p132,994.1
gas-CT,dum,p133,18.2
gas-CT,dum,p134,334.3
gas-CT,dum,p14,132.0
gas-CT,dum,p15,430.9
gas-CT,dum,p17,54.0
gas-CT,dum,p21,4.7
gas-CT,dum,p22,15.0
gas-CT,dum,p23,98.0
gas-CT,dum,p25,495.0
gas-CT,dum,p26,9.9
gas-CT,dum,p27,90.0
gas-CT,dum,p28,1567.5
gas-CT,dum,p3,76.79999999999998
gas-CT,dum,p30,278.3
gas-CT,dum,p31,518.5
gas-CT,dum,p32,112.0
gas-CT,dum,p33,2090.2000000000003
gas-CT,dum,p34,622.6
gas-CT,dum,p35,98.5
gas-CT,dum,p36,2.0
gas-CT,dum,p37,55.3
gas-CT,dum,p38,759.0999999999999
gas-CT,dum,p39,13.6
gas-CT,dum,p40,307.89999999999986
gas-CT,dum,p41,1278.3000000000002
gas-CT,dum,p42,63.099999999999994
gas-CT,dum,p43,2086.9999999999995
gas-CT,dum,p44,57.7
gas-CT,dum,p45,457.7
gas-CT,dum,p46,505.3000000000002
gas-CT,dum,p47,293.0
gas-CT,dum,p48,569.6999999999999
gas-CT,dum,p5,33.8
gas-CT,dum,p50,1057.1999999999998
gas-CT,dum,p51,179.9
gas-CT,dum,p52,201.9
gas-CT,dum,p53,2796.5010000000007
gas-CT,dum,p54,2046.0999999999995
gas-CT,dum,p55,779.1
gas-CT,dum,p56,294.0
gas-CT,dum,p58,1737.6999999999998
gas-CT,dum,p59,62.0
gas-CT,dum,p6,100.0
gas-CT,dum,p60,407.0
gas-CT,dum,p62,340.0
gas-CT,dum,p63,579.3000000000002
gas-CT,dum,p64,475.50000000000006
gas-CT,dum,p65,649.1
gas-CT,dum,p66,983.5
gas-CT,dum,p67,1690.0
gas-CT,dum,p68,1117.3
gas-CT,dum,p69,381.2999999999998
gas-CT,dum,p70,1240.8999999999996
gas-CT,dum,p71,78.29999999999998
gas-CT,dum,p72,1404.7999999999993
gas-CT,dum,p73,1.0
gas-CT,dum,p74,54.4
gas-CT,dum,p75,570.4
gas-CT,dum,p76,703.6
gas-CT,dum,p77,16.8
gas-CT,dum,p78,526.1
gas-CT,dum,p79,1288.3
gas-CT,dum,p80,7363.4
gas-CT,dum,p81,1843.7000000000007
gas-CT,dum,p82,149.09999999999997
gas-CT,dum,p83,1570.0999999999988
gas-CT,dum,p84,234.60000000000002
gas-CT,dum,p85,373.80000000000007
gas-CT,dum,p86,312.0
gas-CT,dum,p87,1095.1999999999994
gas-CT,dum,p88,293.2
gas-CT,dum,p89,1122.8000000000004
gas-CT,dum,p9,2867.4999999999973
gas-CT,dum,p90,1067.0
gas-CT,dum,p91,126.0
gas-CT,dum,p92,3796.0000000000027
gas-CT,dum,p93,604.6
gas-CT,dum,p94,8653.401999999998
gas-CT,dum,p95,2041.0999999999995
gas-CT,dum,p96,1191.4
gas-CT,dum,p97,3264.9999999999986
