resource_region,tech,RetireYear,cap
174,wind-ons,2039,381.6
176,wind-ons,2033,21.799999999999997
176,wind-ons,2034,11.7
176,wind-ons,2035,102.2
176,wind-ons,2036,117.1
176,wind-ons,2037,101.8
176,wind-ons,2038,294.0
176,wind-ons,2039,100.5
177,wind-ons,2038,300.0
177,wind-ons,2039,21.4
178,wind-ons,2035,150.0
178,wind-ons,2037,50.0
178,wind-ons,2038,150.0
178,wind-ons,2039,150.0
180,wind-ons,2037,14.7
180,wind-ons,2038,174.8
193,wind-ons,2019,0.2
193,wind-ons,2038,187.7
193,wind-ons,2039,84.0
194,wind-ons,2032,2.0
197,wind-ons,2018,0.9
197,wind-ons,2029,0.9
199,wind-ons,2033,50.4
199,wind-ons,2037,85.0
199,wind-ons,2039,318.0
200,wind-ons,2035,53.0
200,wind-ons,2037,158.4
200,wind-ons,2038,72.0
200,wind-ons,2039,3.0
201,wind-ons,2035,1.7
203,wind-ons,2039,100.5
207,wind-ons,2038,99.0
207,wind-ons,2039,213.0
208,wind-ons,2037,396.0
214,wind-ons,2031,1.8
214,wind-ons,2039,59.0
218,wind-ons,2038,121.8
221,wind-ons,2038,130.5
221,wind-ons,2039,906.0
227,wind-ons,2033,3.6
227,wind-ons,2034,3.6
250,wind-ons,2032,66.0
250,wind-ons,2038,264.0
281,wind-ons,2030,2.0999999999999996
281,wind-ons,2034,27.0
322,wind-ons,2031,24.0
322,wind-ons,2033,30.0
322,wind-ons,2037,114.5
322,wind-ons,2038,67.19999999999999
322,wind-ons,2039,185.0
323,wind-ons,2033,64.5
323,wind-ons,2039,100.5
324,wind-ons,2036,24.0
325,wind-ons,2037,26.0
325,wind-ons,2039,102.0
332,wind-ons,2036,7.5
333,wind-ons,2030,6.6
333,wind-ons,2037,20.0
333,wind-ons,2038,100.5
333,wind-ons,2039,238.0
334,wind-ons,2030,11.5
334,wind-ons,2031,30.0
334,wind-ons,2037,34.5
335,wind-ons,2039,125.0
337,wind-ons,2035,137.0
337,wind-ons,2036,185.0
338,wind-ons,2038,181.5
338,wind-ons,2039,204.0
348,wind-ons,2036,1.8
348,wind-ons,2039,1.2
349,wind-ons,2039,1.5
352,wind-ons,2027,5.2
354,wind-ons,2038,24.0
355,wind-ons,2037,42.0
355,wind-ons,2039,66.0
356,wind-ons,2038,4.5
356,wind-ons,2039,61.5
