Commercial.Online.Year,pca,tech,coolingwatertech,ctt,wst,cap
2010,p92,coal-new,coal-new_r_ww,r,ww,1398.0
2010,p92,gas-CC,gas-CC_r_ww,r,ww,525.0
2010,p93,gas-CT,gas-CT,n,ww,110.0
2010,p94,biopower,biopower_r_fg,r,fg,18.0
2010,p94,coal-new,coal-new_r_ww,r,ww,724.0
2010,p96,coal-new,coal-new_r_ww,r,ww,1289.0
2010,p96,gas-CT,gas-CT,n,ww,20.0
2010,p96,lfill-gas,lfill-gas_r_ww,r,ww,4.0
2010,p97,coal-new,coal-new_r_ww,r,ww,544.0
2010,p97,gas-CT,gas-CT,n,ww,24.0
2010,p97,lfill-gas,lfill-gas_r_ww,r,ww,1.6
2010,p98,lfill-gas,lfill-gas_r_ww,r,ww,4.4
2010,p99,lfill-gas,lfill-gas_r_ww,r,ww,12.000000000000007
2011,p1,hydro,hydro,n,ww,7.9
2011,p10,gas-CT,gas-CT,n,ww,293.10000000000053
2011,p101,gas-CC,gas-CC_r_ww,r,ww,290.0
2011,p101,gas-CT,gas-CT,n,ww,296.0
2011,p101,lfill-gas,lfill-gas_r_ww,r,ww,6.800000000000001
2011,p102,gas-CC,gas-CC_r_ww,r,ww,1259.0
2011,p103,lfill-gas,lfill-gas_r_ww,r,ww,6.4
2011,p105,gas-CT,gas-CT,n,ww,1.7000000000000002
2011,p109,coal-new,coal-new_r_ww,r,ww,732.0
2011,p11,lfill-gas,lfill-gas_r_ww,r,ww,2.4
2011,p11,o-g-s,o-g-s_r_ww,r,ww,2.8
2011,p111,lfill-gas,lfill-gas_r_ww,r,ww,2.8
2011,p112,coal-new,coal-new_r_ww,r,ww,576.0
2011,p112,lfill-gas,lfill-gas_r_ww,r,ww,5.6
2011,p116,battery_4,battery_4,n,fsu,16.0
2011,p116,coal-new,coal-new_r_ww,r,ww,700.0
2011,p117,coal-new,coal-new_r_ww,r,ww,800.0
2011,p119,gas-CT,gas-CT,n,ww,7.4
2011,p12,geothermal,geothermal,n,fsa,1.3
2011,p122,gas-CC,gas-CC_r_ww,r,ww,642.7
2011,p122,gas-CT,gas-CT,n,ww,1.1
2011,p122,hydro,hydro,n,ww,2.4
2011,p122,lfill-gas,lfill-gas_r_ww,r,ww,7.5
2011,p126,gas-CT,gas-CT,n,ww,3.9
2011,p126,lfill-gas,lfill-gas_r_ww,r,ww,12.1
2011,p127,battery_4,battery_4,n,fsu,20.0
2011,p127,gas-CC,gas-CC_r_ww,r,ww,540.0
2011,p127,gas-CT,gas-CT,n,ww,31.700000000000003
2011,p127,hydro,hydro,n,ww,3.0
2011,p127,lfill-gas,lfill-gas_r_ww,r,ww,4.800000000000001
2011,p127,o-g-s,o-g-s_r_ww,r,ww,13.799999999999999
2011,p13,gas-CC,gas-CC_r_ww,r,ww,510.0
2011,p130,coal-new,coal-new_r_ww,r,ww,438.0
2011,p131,gas-CT,gas-CT,n,ww,9.2
2011,p131,lfill-gas,lfill-gas_r_ww,r,ww,3.3
2011,p132,gas-CC,gas-CC_r_ww,r,ww,622.0
2011,p132,gas-CT,gas-CT,n,ww,197.9
2011,p134,hydro,hydro,n,ww,1.4
2011,p17,gas-CT,gas-CT,n,ww,132.3
