pca,cap
p1,0.65
p10,18.330000000000002
p11,1.6900000000000002
p12,1.3
p122,5.07
p126,31.459999999999997
p13,11.440000000000001
p131,0.13
p28,5.200000000000001
p29,4.8100000000000005
p30,3.9000000000000004
p33,11.05
p34,4.55
p9,23.01
p98,4.16
