resource_region,tech,RetireYear,cap
30,wind-ons,2020,134.4
33,wind-ons,2019,44.5
33,wind-ons,2020,57.4
74,wind-ons,2020,43.400000000000006
82,wind-ons,2021,3.8
123,wind-ons,2019,2.0
123,wind-ons,2021,11.6
149,wind-ons,2019,7.5
193,wind-ons,2019,0.2
