RetireYear,pca,tech,coolingwatertech,ctt,wst,cap
2010,p123,CoalOldUns,CoalOldUns_r_ww,r,ww,638.0
2010,p24,CoalOldUns,CoalOldUns_r_ww,r,ww,220.0
2010,p72,CoalOldUns,CoalOldUns_r_ww,r,ww,974.0
2010,p77,CoalOldUns,CoalOldUns_r_ww,r,ww,308.0
2010,p81,CoalOldUns,CoalOldUns_r_ww,r,ww,621.0
2010,p89,CoalOldUns,CoalOldUns_r_ww,r,ww,2226.0
2010,p90,CoalOldUns,CoalOldUns_r_ww,r,ww,756.0
2010,p92,CoalOldUns,CoalOldUns_r_ww,r,ww,1398.0
2010,p94,CoalOldUns,CoalOldUns_r_ww,r,ww,724.0
2010,p96,CoalOldUns,CoalOldUns_r_ww,r,ww,1289.0
2010,p97,CoalOldUns,CoalOldUns_r_ww,r,ww,544.0
2011,p112,CoalOldUns,CoalOldUns_r_ww,r,ww,576.0
2011,p117,CoalOldUns,CoalOldUns_r_ww,r,ww,800.0
2011,p130,CoalOldUns,CoalOldUns_r_ww,r,ww,438.0
2011,p21,CoalOldUns,CoalOldUns_r_ww,r,ww,201.0
2011,p29,CoalOldUns,CoalOldUns_r_ww,r,ww,382.0
2011,p36,CoalOldUns,CoalOldUns_r_ww,r,ww,237.0
2011,p55,CoalOldUns,CoalOldUns_r_ww,r,ww,275.0
2011,p64,CoalOldUns,CoalOldUns_r_ww,r,ww,1180.0
2011,p81,CoalOldUns,CoalOldUns_r_ww,r,ww,576.0
2011,p89,CoalOldUns,CoalOldUns_r_ww,r,ww,688.0
2011,p94,CoalOldUns,CoalOldUns_r_ww,r,ww,860.0
2011,p99,CoalOldUns,CoalOldUns_r_ww,r,ww,336.0
2012,p112,CoalOldUns,CoalOldUns_r_ww,r,ww,1006.0
2012,p125,CoalOldUns,CoalOldUns_r_ww,r,ww,410.0
2012,p21,CoalOldUns,CoalOldUns_r_ww,r,ww,156.0
2012,p24,CoalOldUns,CoalOldUns_r_ww,r,ww,330.0
2012,p29,CoalOldUns,CoalOldUns_r_ww,r,ww,380.0
2012,p53,CoalOldUns,CoalOldUns_r_ww,r,ww,484.0
2012,p72,gas-CT,gas-CT,n,ww,7.8
2012,p79,CoalOldUns,CoalOldUns_r_ww,r,ww,1098.0
2012,p81,CoalOldUns,CoalOldUns_r_ww,r,ww,581.0
2012,p93,CoalOldUns,CoalOldUns_r_ww,r,ww,341.0
2012,p94,CoalOldUns,CoalOldUns_r_ww,r,ww,860.0
2013,p103,CoalOldUns,CoalOldUns_r_ww,r,ww,758.0
2013,p105,CoalOldUns,CoalOldUns_r_ww,r,ww,431.0
2013,p107,CoalOldUns,CoalOldUns_r_ww,r,ww,1176.0
2013,p129,gas-CT,gas-CT,n,ww,5.9
2013,p36,CoalOldUns,CoalOldUns_r_ww,r,ww,667.0
2013,p45,CoalOldUns,CoalOldUns_r_ww,r,ww,645.0
2013,p94,CoalOldUns,CoalOldUns_r_ww,r,ww,860.0
2014,p103,CoalOldUns,CoalOldUns_r_ww,r,ww,773.0
2014,p105,CoalOldUns,CoalOldUns_r_ww,r,ww,472.0
2014,p109,CoalOldUns,CoalOldUns_r_ww,r,ww,477.0
2014,p33,CoalOldUns,CoalOldUns_r_ww,r,ww,505.0
2014,p40,CoalOldUns,CoalOldUns_r_ww,r,ww,100.0
2014,p45,CoalOldUns,CoalOldUns_r_ww,r,ww,515.0
2014,p70,CoalOldUns,CoalOldUns_r_ww,r,ww,725.0
2014,p76,CoalOldUns,CoalOldUns_r_ww,r,ww,1145.0
2014,p94,CoalOldUns,CoalOldUns_r_ww,r,ww,860.0
2015,p109,CoalOldUns,CoalOldUns_r_ww,r,ww,597.0
2015,p38,CoalOldUns,CoalOldUns_r_ww,r,ww,474.0
2015,p41,CoalOldUns,CoalOldUns_r_ww,r,ww,82.0
2015,p43,CoalOldUns,CoalOldUns_r_ww,r,ww,584.0
2015,p53,CoalOldUns,CoalOldUns_r_ww,r,ww,1398.0
2015,p67,gas-CT,gas-CT,n,ww,65.0
2015,p69,CoalOldUns,CoalOldUns_r_ww,r,ww,248.0
2015,p85,gas-CT,gas-CT,n,ww,3.2
2015,p87,CoalOldUns,CoalOldUns_r_ww,r,ww,1004.0
2016,p103,CoalOldUns,CoalOldUns_r_ww,r,ww,838.0
2016,p105,CoalOldUns,CoalOldUns_r_ww,r,ww,469.0
2016,p109,CoalOldUns,CoalOldUns_r_ww,r,ww,391.0
2016,p122,CoalOldUns,CoalOldUns_r_ww,r,ww,1236.0
2016,p53,CoalOldUns,CoalOldUns_r_ww,r,ww,240.0
2016,p56,CoalOldUns,CoalOldUns_r_ww,r,ww,528.0
2016,p72,biopower,biopower_r_fg,r,fg,19.0
2016,p79,CoalOldUns,CoalOldUns_r_ww,r,ww,416.0
2016,p9,gas-CT,gas-CT,n,ww,36.0
2016,p92,CoalOldUns,CoalOldUns_r_ww,r,ww,976.0
2016,p98,gas-CT,gas-CT,n,ww,0.6
2017,p128,gas-CT,gas-CT,n,ww,2.7
2017,p33,hydro,hydro,n,ww,1.9
2017,p34,CoalOldUns,CoalOldUns_r_ww,r,ww,416.0
2017,p45,lfill-gas,lfill-gas_r_ww,r,ww,0.8
2017,p63,lfill-gas,lfill-gas_r_ww,r,ww,1.6
2017,p67,o-g-s,o-g-s_r_ww,r,ww,406.0
2017,p85,lfill-gas,lfill-gas_r_ww,r,ww,0.8
2017,p86,gas-CC,gas-CC_r_ww,r,ww,47.6
2017,p9,gas-CT,gas-CT,n,ww,30.0
2017,p93,CoalOldUns,CoalOldUns_r_ww,r,ww,268.0
2018,p103,hydro,hydro,n,ww,4.8
2018,p128,gas-CT,gas-CT,n,ww,2.0
2018,p131,gas-CT,gas-CT,n,ww,5.6
2018,p132,lfill-gas,lfill-gas_r_ww,r,ww,1.8
2018,p40,gas-CT,gas-CT,n,ww,0.5
2018,p43,lfill-gas,lfill-gas_r_ww,r,ww,7.6
2018,p45,gas-CT,gas-CT,n,ww,1.1
2018,p80,gas-CT,gas-CT,n,ww,2.2
2018,p9,lfill-gas,lfill-gas_r_ww,r,ww,2.6
2019,p10,gas-CT,gas-CT,n,ww,44.5
2019,p10,hydro,hydro,n,ww,1.0
2019,p101,hydro,hydro,n,ww,11.0
2019,p101,lfill-gas,lfill-gas_r_ww,r,ww,1.6
2019,p103,gas-CC,gas-CC_r_ww,r,ww,19.3
2019,p103,gas-CT,gas-CT,n,ww,38.0
2019,p103,lfill-gas,lfill-gas_r_ww,r,ww,63.599999999999994
2019,p107,gas-CT,gas-CT,n,ww,65.0
2019,p109,gas-CT,gas-CT,n,ww,14.0
2019,p11,lfill-gas,lfill-gas_r_ww,r,ww,6.2
2019,p112,gas-CT,gas-CT,n,ww,3.0
2019,p112,lfill-gas,lfill-gas_r_ww,r,ww,4.800000000000001
2019,p114,gas-CT,gas-CT,n,ww,30.6
2019,p122,CoalOldScr,CoalOldScr_r_ww,r,ww,88.0
2019,p127,biopower,biopower_r_fg,r,fg,19.0
2019,p127,coal-new,coal-new_r_ww,r,ww,294.0
2019,p127,gas-CT,gas-CT,n,ww,6.3
2019,p127,lfill-gas,lfill-gas_r_ww,r,ww,1.6
2019,p132,hydro,hydro,n,ww,2.8
2019,p134,biopower,biopower_r_fg,r,fg,69.0
2019,p134,gas-CT,gas-CT,n,ww,2.0
2019,p25,CoalOldUns,CoalOldUns_r_ww,r,ww,75.0
2019,p28,lfill-gas,lfill-gas_r_ww,r,ww,2.8
2019,p38,gas-CT,gas-CT,n,ww,3.8
2019,p40,hydro,hydro,n,ww,1.2000000000000002
2019,p43,gas-CC,gas-CC_r_ww,r,ww,13.0
2019,p43,gas-CT,gas-CT,n,ww,2.0
2019,p50,CoalOldUns,CoalOldUns_r_ww,r,ww,1040.0
2019,p50,gas-CT,gas-CT,n,ww,55.0
2019,p52,gas-CT,gas-CT,n,ww,4.1
2019,p53,o-g-s,o-g-s_r_ww,r,ww,16.0
2019,p58,gas-CT,gas-CT,n,ww,2.8
2019,p64,CoalOldScr,CoalOldScr_r_ww,r,ww,470.0
2019,p65,gas-CT,gas-CT,n,ww,3.0
2019,p66,lfill-gas,lfill-gas_r_ww,r,ww,1.7
2019,p69,gas-CT,gas-CT,n,ww,0.5
2019,p70,gas-CT,gas-CT,n,ww,1.7
2019,p72,biopower,biopower_r_fg,r,fg,19.0
2019,p78,lfill-gas,lfill-gas_r_ww,r,ww,4.0
2019,p81,gas-CT,gas-CT,n,ww,2.7
2019,p84,gas-CT,gas-CT,n,ww,11.900000000000002
2019,p94,lfill-gas,lfill-gas_r_ww,r,ww,1.6
2020,p101,CoalOldUns,CoalOldUns_r_ww,r,ww,385.0
2020,p101,biopower,biopower_r_fg,r,fg,13.7
2020,p101,o-g-s,o-g-s_r_ww,r,ww,106.0
2020,p103,biopower,biopower_r_fg,r,fg,38.0
2020,p103,hydro,hydro,n,ww,6.0
2020,p105,gas-CT,gas-CT,n,ww,31.0
2020,p11,gas-CT,gas-CT,n,ww,1.6
2020,p116,CoalOldScr,CoalOldScr_r_ww,r,ww,50.0
2020,p122,CoalOldScr,CoalOldScr_r_ww,r,ww,42.0
2020,p122,lfill-gas,lfill-gas_r_ww,r,ww,4.9
2020,p123,coal-new,coal-new_r_ww,r,ww,519.0
2020,p123,gas-CT,gas-CT,n,ww,1.8
2020,p126,lfill-gas,lfill-gas_r_ww,r,ww,8.8
2020,p127,CoalOldScr,CoalOldScr_r_ww,r,ww,686.0
2020,p127,gas-CT,gas-CT,n,ww,23.9
2020,p128,gas-CT,gas-CT,n,ww,49.7
2020,p134,hydro,hydro,n,ww,3.4
2020,p134,lfill-gas,lfill-gas_r_ww,r,ww,0.9
2020,p28,coal-new,coal-new_r_ww,r,ww,380.0
2020,p31,CoalOldScr,CoalOldScr_r_ww,r,ww,253.0
2020,p31,gas-CT,gas-CT,n,ww,17.0
2020,p34,gas-CT,gas-CT,n,ww,14.4
2020,p43,gas-CT,gas-CT,n,ww,1.1
2020,p43,o-g-s,o-g-s_r_ww,r,ww,23.3
2020,p45,gas-CT,gas-CT,n,ww,3.9
