tech,coolingwatertech,pca,ctt,wst,cap
lfill-gas,lfill-gas_r_ww,p66,r,ww,5.1
lfill-gas,lfill-gas_r_ww,p68,r,ww,18.0
lfill-gas,lfill-gas_r_ww,p70,r,ww,6.3999999999999995
lfill-gas,lfill-gas_r_ww,p72,r,ww,4.7
lfill-gas,lfill-gas_r_ww,p75,r,ww,8.799999999999999
lfill-gas,lfill-gas_r_ww,p76,r,ww,9.1
lfill-gas,lfill-gas_r_ww,p78,r,ww,7.0
lfill-gas,lfill-gas_r_ww,p79,r,ww,33.00000000000001
lfill-gas,lfill-gas_r_ww,p80,r,ww,42.39999999999999
lfill-gas,lfill-gas_r_ww,p82,r,ww,2.4000000000000004
lfill-gas,lfill-gas_r_ww,p83,r,ww,6.4
lfill-gas,lfill-gas_r_ww,p85,r,ww,4.8
lfill-gas,lfill-gas_r_ww,p9,r,ww,80.29999999999998
lfill-gas,lfill-gas_r_ww,p91,r,ww,14.800000000000004
lfill-gas,lfill-gas_r_ww,p92,r,ww,3.2
lfill-gas,lfill-gas_r_ww,p94,r,ww,13.600000000000001
lfill-gas,lfill-gas_r_ww,p95,r,ww,16.0
lfill-gas,lfill-gas_r_ww,p96,r,ww,19.100000000000005
lfill-gas,lfill-gas_r_ww,p97,r,ww,10.399999999999999
lfill-gas,lfill-gas_r_ww,p98,r,ww,3.599999999999999
lfill-gas,lfill-gas_r_ww,p99,r,ww,269.800000000003
nuclear,nuclear_r_ww,p102,r,ww,3626.0
nuclear,nuclear_r_ww,p103,r,ww,1141.0
nuclear,nuclear_r_ww,p104,r,ww,2177.0
nuclear,nuclear_r_ww,p111,r,ww,2134.0
nuclear,nuclear_r_ww,p115,r,ww,1808.0
nuclear,nuclear_r_ww,p122,r,ww,7186.199999999999
nuclear,nuclear_r_ww,p123,r,ww,1725.8
nuclear,nuclear_r_ww,p126,r,ww,3500.2
nuclear,nuclear_r_ww,p127,r,ww,3346.7
nuclear,nuclear_r_ww,p130,r,ww,1251.4
nuclear,nuclear_r_ww,p132,r,ww,2073.1
nuclear,nuclear_r_ww,p2,r,ww,1163.0
nuclear,nuclear_r_ww,p28,r,ww,3937.0
nuclear,nuclear_r_ww,p41,r,ww,770.0
nuclear,nuclear_r_ww,p43,r,ww,1657.0
nuclear,nuclear_r_ww,p53,r,ww,1225.0
nuclear,nuclear_r_ww,p58,r,ww,2132.9
nuclear,nuclear_r_ww,p63,r,ww,2400.0
nuclear,nuclear_r_ww,p65,r,ww,2560.0
nuclear,nuclear_r_ww,p72,r,ww,1190.0
nuclear,nuclear_r_ww,p75,r,ww,1195.8
nuclear,nuclear_r_ww,p80,r,ww,8698.4
nuclear,nuclear_r_ww,p81,r,ww,1819.0
nuclear,nuclear_r_ww,p83,r,ww,1065.0
nuclear,nuclear_r_ww,p85,r,ww,1817.8
nuclear,nuclear_r_ww,p87,r,ww,1401.0
nuclear,nuclear_r_ww,p89,r,ww,3774.4
nuclear,nuclear_r_ww,p9,r,ww,2240.0
nuclear,nuclear_r_ww,p90,r,ww,1828.0
nuclear,nuclear_r_ww,p92,r,ww,3400.7
nuclear,nuclear_r_ww,p94,r,ww,4061.0
nuclear,nuclear_r_ww,p95,r,ww,4864.2
nuclear,nuclear_r_ww,p96,r,ww,1712.0
nuclear,nuclear_r_ww,p97,r,ww,2315.6
nuclear,nuclear_r_ww,p98,r,ww,2838.0
nuclear,nuclear_r_ww,p99,r,ww,3568.0
o-g-s,o-g-s_r_ww,p10,r,ww,2452.0
o-g-s,o-g-s_r_ww,p101,r,ww,1633.0
o-g-s,o-g-s_r_ww,p102,r,ww,26.0
o-g-s,o-g-s_r_ww,p103,r,ww,2115.5
o-g-s,o-g-s_r_ww,p105,r,ww,29.4
o-g-s,o-g-s_r_ww,p106,r,ww,624.48
o-g-s,o-g-s_r_ww,p110,r,ww,260.0
o-g-s,o-g-s_r_ww,p114,r,ww,111.0
o-g-s,o-g-s_r_ww,p118,r,ww,462.5
o-g-s,o-g-s_r_ww,p12,r,ww,221.0
o-g-s,o-g-s_r_ww,p122,r,ww,4459.9
o-g-s,o-g-s_r_ww,p123,r,ww,1842.0
o-g-s,o-g-s_r_ww,p125,r,ww,813.0
o-g-s,o-g-s_r_ww,p127,r,ww,8513.920000000002
o-g-s,o-g-s_r_ww,p128,r,ww,2347.0
o-g-s,o-g-s_r_ww,p130,r,ww,400.0
o-g-s,o-g-s_r_ww,p131,r,ww,1805.8
o-g-s,o-g-s_r_ww,p132,r,ww,1692.8
o-g-s,o-g-s_r_ww,p133,r,ww,0.5
o-g-s,o-g-s_r_ww,p134,r,ww,811.0
o-g-s,o-g-s_r_ww,p25,r,ww,237.0
o-g-s,o-g-s_r_ww,p28,r,ww,729.0
o-g-s,o-g-s_r_ww,p30,r,ww,260.0
o-g-s,o-g-s_r_ww,p31,r,ww,342.0
o-g-s,o-g-s_r_ww,p33,r,ww,350.0
o-g-s,o-g-s_r_ww,p34,r,ww,55.0
o-g-s,o-g-s_r_ww,p40,r,ww,140.0
o-g-s,o-g-s_r_ww,p41,r,ww,242.0
o-g-s,o-g-s_r_ww,p43,r,ww,124.1
o-g-s,o-g-s_r_ww,p45,r,ww,38.0
o-g-s,o-g-s_r_ww,p47,r,ww,295.0
o-g-s,o-g-s_r_ww,p48,r,ww,1207.0
o-g-s,o-g-s_r_ww,p50,r,ww,2983.8
o-g-s,o-g-s_r_ww,p51,r,ww,1716.0
o-g-s,o-g-s_r_ww,p52,r,ww,93.0
o-g-s,o-g-s_r_ww,p53,r,ww,568.5
o-g-s,o-g-s_r_ww,p54,r,ww,139.9
o-g-s,o-g-s_r_ww,p57,r,ww,1331.0
o-g-s,o-g-s_r_ww,p58,r,ww,5708.28
o-g-s,o-g-s_r_ww,p59,r,ww,97.0
o-g-s,o-g-s_r_ww,p63,r,ww,5406.5
o-g-s,o-g-s_r_ww,p64,r,ww,1443.2
o-g-s,o-g-s_r_ww,p65,r,ww,1989.0
o-g-s,o-g-s_r_ww,p66,r,ww,3524.499999999999
o-g-s,o-g-s_r_ww,p67,r,ww,1604.0
o-g-s,o-g-s_r_ww,p68,r,ww,18.0
o-g-s,o-g-s_r_ww,p69,r,ww,56.6
o-g-s,o-g-s_r_ww,p70,r,ww,556.8
o-g-s,o-g-s_r_ww,p72,r,ww,38.0
o-g-s,o-g-s_r_ww,p75,r,ww,78.0
o-g-s,o-g-s_r_ww,p76,r,ww,1.5
o-g-s,o-g-s_r_ww,p78,r,ww,94.0
o-g-s,o-g-s_r_ww,p79,r,ww,268.0
o-g-s,o-g-s_r_ww,p80,r,ww,1378.0
o-g-s,o-g-s_r_ww,p85,r,ww,802.4
o-g-s,o-g-s_r_ww,p87,r,ww,1511.0
o-g-s,o-g-s_r_ww,p88,r,ww,18.6
o-g-s,o-g-s_r_ww,p89,r,ww,1536.0
o-g-s,o-g-s_r_ww,p90,r,ww,242.0
o-g-s,o-g-s_r_ww,p91,r,ww,16.2
o-g-s,o-g-s_r_ww,p94,r,ww,736.3
o-g-s,o-g-s_r_ww,p95,r,ww,170.0
o-g-s,o-g-s_r_ww,p96,r,ww,348.3
o-g-s,o-g-s_r_ww,p99,r,ww,1654.6
