tech,coolingwatertech,pca,ctt,wst,cap
CoalOldUns,CoalOldUns_r_ww,p76,r,ww,1145.0
CoalOldUns,CoalOldUns_r_ww,p77,r,ww,308.0
CoalOldUns,CoalOldUns_r_ww,p79,r,ww,1514.0
CoalOldUns,CoalOldUns_r_ww,p80,r,ww,1199.0
CoalOldUns,CoalOldUns_r_ww,p81,r,ww,3017.0
CoalOldUns,CoalOldUns_r_ww,p82,r,ww,2422.0
CoalOldUns,CoalOldUns_r_ww,p83,r,ww,1703.0
CoalOldUns,CoalOldUns_r_ww,p84,r,ww,1154.0
CoalOldUns,CoalOldUns_r_ww,p85,r,ww,3288.0
CoalOldUns,CoalOldUns_r_ww,p87,r,ww,1004.0
CoalOldUns,CoalOldUns_r_ww,p89,r,ww,3601.0
CoalOldUns,CoalOldUns_r_ww,p9,r,ww,17.0
CoalOldUns,CoalOldUns_r_ww,p90,r,ww,1118.0
CoalOldUns,CoalOldUns_r_ww,p91,r,ww,924.0
CoalOldUns,CoalOldUns_r_ww,p92,r,ww,5714.0
CoalOldUns,CoalOldUns_r_ww,p93,r,ww,1547.0
CoalOldUns,CoalOldUns_r_ww,p94,r,ww,8416.0
CoalOldUns,CoalOldUns_r_ww,p96,r,ww,1849.0
CoalOldUns,CoalOldUns_r_ww,p97,r,ww,5920.0
CoalOldUns,CoalOldUns_r_ww,p98,r,ww,3167.0
CoalOldUns,CoalOldUns_r_ww,p99,r,ww,1020.7
battery_4,battery_4,p101,n,fsu,15.9
battery_4,battery_4,p105,n,fsu,2.0
battery_4,battery_4,p112,n,fsu,2.0
battery_4,battery_4,p117,n,fsu,2.0
battery_4,battery_4,p21,n,fsu,11.5
battery_4,battery_4,p58,n,fsu,4.3
biopower,biopower_r_fg,p1,r,fg,29.1
biopower,biopower_r_fg,p10,r,fg,100.5
biopower,biopower_r_fg,p101,r,fg,95.7
biopower,biopower_r_fg,p102,r,fg,105.0
biopower,biopower_r_fg,p103,r,fg,161.3
biopower,biopower_r_fg,p109,r,fg,3.3
biopower,biopower_r_fg,p111,r,fg,7.2
biopower,biopower_r_fg,p127,r,fg,19.0
biopower,biopower_r_fg,p129,r,fg,72.0
biopower,biopower_r_fg,p130,r,fg,142.29999999999998
biopower,biopower_r_fg,p131,r,fg,16.0
biopower,biopower_r_fg,p134,r,fg,248.0
biopower,biopower_r_fg,p14,r,fg,28.3
biopower,biopower_r_fg,p15,r,fg,5.8
biopower,biopower_r_fg,p2,r,fg,17.4
biopower,biopower_r_fg,p28,r,fg,22.2
biopower,biopower_r_fg,p3,r,fg,50.0
biopower,biopower_r_fg,p43,r,fg,166.3
biopower,biopower_r_fg,p46,r,fg,57.099999999999994
biopower,biopower_r_fg,p5,r,fg,17.5
biopower,biopower_r_fg,p57,r,fg,5.0
biopower,biopower_r_fg,p58,r,fg,10.9
biopower,biopower_r_fg,p6,r,fg,90.39999999999999
biopower,biopower_r_fg,p65,r,fg,17.5
biopower,biopower_r_fg,p72,r,fg,38.0
biopower,biopower_r_fg,p74,r,fg,17.7
biopower,biopower_r_fg,p75,r,fg,44.0
biopower,biopower_r_fg,p8,r,fg,39.0
biopower,biopower_r_fg,p85,r,fg,8.0
biopower,biopower_r_fg,p9,r,fg,371.4
biopower,biopower_r_fg,p92,r,fg,1.8
biopower,biopower_r_fg,p94,r,fg,104.10000000000001
biopower,biopower_r_fg,p96,r,fg,165.2
biopower,biopower_r_fg,p98,r,fg,233.49999999999997
biopower,biopower_r_fg,p99,r,fg,156.0
coal-IGCC,coal-IGCC_r_fg,p101,r,fg,220.0
coal-new,CoalOldScr_r_ww,p101,r,ww,586.0
coal-new,CoalOldScr_r_ww,p109,r,ww,536.0
coal-new,CoalOldScr_r_ww,p111,r,ww,136.0
coal-new,CoalOldScr_r_ww,p12,r,ww,218.0
coal-new,CoalOldScr_r_ww,p121,r,ww,180.0
coal-new,CoalOldScr_r_ww,p122,r,ww,742.0
coal-new,CoalOldScr_r_ww,p18,r,ww,107.0
coal-new,CoalOldScr_r_ww,p20,r,ww,52.0
coal-new,CoalOldScr_r_ww,p23,r,ww,255.0
coal-new,CoalOldScr_r_ww,p29,r,ww,832.0
