Nuke60RetireYear,pca,tech,coolingwatertech,cap
2015,p10,lfill-gas,none,1.7
2015,p103,CoalOldUns,none,324.0
2015,p109,CoalOldUns,none,297.0
2015,p134,hydro,none,1.7999999999999998
2015,p38,CoalOldUns,none,474.0
2015,p41,CoalOldUns,none,82.0
2015,p43,CoalOldUns,none,584.0
2015,p53,CoalOldUns,none,1398.0
2015,p55,CoalOldUns,none,198.0
2015,p69,CoalOldUns,none,229.0
2015,p72,gas-CT,none,39.0
2015,p80,CoalOldUns,none,689.0
2015,p82,CoalOldUns,none,768.0
2015,p85,gas-CT,none,3.2
2015,p87,CoalOldUns,none,1020.0
2016,p10,lfill-gas,none,30.4
2016,p102,gas-CT,none,70.0
2016,p102,o-g-s,none,396.0
2016,p103,CoalOldUns,none,863.0
2016,p105,CoalOldUns,none,469.0
2016,p122,CoalOldUns,none,1237.0
2016,p126,lfill-gas,none,3.6
2016,p133,gas-CT,none,1.2
2016,p34,CoalOldUns,none,77.0
2016,p37,gas-CT,none,2.1
2016,p39,gas-CT,none,0.1
2016,p40,gas-CT,none,0.5
2016,p40,o-g-s,none,38.5
2016,p53,CoalOldUns,none,251.0
2016,p56,CoalOldUns,none,528.0
2016,p58,o-g-s,none,130.0
2016,p64,lfill-gas,none,3.6
2016,p72,gas-CT,none,12.5
2016,p76,lfill-gas,none,0.9
2016,p79,CoalOldUns,none,398.0
2016,p82,CoalOldUns,none,768.0
2016,p9,gas-CT,none,36.0
2016,p92,CoalOldUns,none,976.0
2016,p98,gas-CT,none,0.6
2017,p10,gas-CT,none,40.0
2017,p10,lfill-gas,none,2.7
2017,p103,CoalOldUns,none,171.5
2017,p103,gas-CT,none,6.0
2017,p12,gas-CT,none,200.0
2017,p126,gas-CT,none,2.2
2017,p128,gas-CT,none,2.7
2017,p131,lfill-gas,none,0.8
2017,p134,biopower,none,22.8
2017,p15,hydro,none,1.1
2017,p18,hydro,none,3.5
2017,p33,hydro,none,2.1
2017,p34,CoalOldUns,none,339.0
2017,p40,o-g-s,none,72.8
2017,p43,gas-CT,none,6.800000000000001
2017,p45,lfill-gas,none,0.8
2017,p46,lfill-gas,none,3.4000000000000004
2017,p47,gas-CT,none,10.0
2017,p52,gas-CT,none,5.6000000000000005
2017,p53,gas-CT,none,2.9000000000000004
2017,p54,o-g-s,none,47.0
2017,p55,o-g-s,none,83.0
2017,p58,gas-CT,none,1.8
2017,p58,o-g-s,none,25.0
2017,p63,gas-CT,none,4.300000000000001
2017,p63,lfill-gas,none,1.6
2017,p65,o-g-s,none,69.0
2017,p67,gas-CT,none,17.3
2017,p67,o-g-s,none,866.0
2017,p68,gas-CT,none,1.9000000000000001
2017,p75,CoalOldUns,none,334.0
2017,p75,gas-CT,none,5.0
2017,p80,lfill-gas,none,8.8
2017,p81,gas-CT,none,3.0
2017,p83,gas-CT,none,7.7
2017,p85,lfill-gas,none,0.8
2017,p86,gas-CC,none,59.2
2017,p87,gas-CT,none,16.0
2017,p87,o-g-s,none,29.0
2017,p9,gas-CC,none,26.0
2017,p9,gas-CT,none,30.0
2017,p93,CoalOldUns,none,268.0
2017,p97,gas-CT,none,0.2
2017,p97,lfill-gas,none,3.3
2018,p10,gas-CC,none,54.5
2018,p10,gas-CT,none,130.0
2018,p10,lfill-gas,none,13.3
2018,p10,o-g-s,none,640.0
2018,p101,gas-CC,none,121.0
2018,p101,gas-CT,none,127.4
2018,p102,gas-CC,none,884.0
2018,p102,o-g-s,none,1652.0
2018,p103,gas-CT,none,120.40000000000002
2018,p105,CoalOldScr,none,480.0
2018,p105,gas-CT,none,64.0
2018,p107,gas-CT,none,75.5
2018,p107,lfill-gas,none,3.4
2018,p11,gas-CC,none,116.6
2018,p11,gas-CT,none,9.600000000000001
2018,p111,gas-CT,none,28.6
2018,p112,gas-CT,none,9.0
2018,p121,lfill-gas,none,2.0
2018,p122,CoalOldScr,none,52.0
2018,p122,biopower,none,25.0
2018,p122,gas-CT,none,7.4
2018,p123,CoalOldUns,none,385.0
2018,p123,gas-CT,none,35.3
2018,p126,gas-CT,none,4.1
2018,p127,gas-CT,none,88.4
2018,p128,gas-CT,none,2.0
2018,p131,gas-CC,none,34.2
2018,p132,gas-CT,none,7.199999999999999
2018,p132,lfill-gas,none,1.8
2018,p134,o-g-s,none,94.3
2018,p16,hydro,none,1.4
2018,p34,gas-CT,none,2.0
2018,p34,hydro,none,0.8
2018,p36,gas-CT,none,2.0
2018,p40,gas-CT,none,0.5
2018,p43,biopower,none,55.0
2018,p43,gas-CT,none,17.6
2018,p43,lfill-gas,none,8.4
2018,p45,gas-CT,none,1.1
2018,p46,gas-CT,none,52.0
2018,p52,gas-CT,none,1.8
2018,p53,CoalOldUns,none,72.0
2018,p53,o-g-s,none,705.0
2018,p54,o-g-s,none,46.0
2018,p55,o-g-s,none,335.0
2018,p57,CoalOldScr,none,795.0
2018,p57,CoalOldUns,none,1070.0
2018,p57,o-g-s,none,73.0
2018,p58,CoalOldUns,none,580.0
2018,p58,gas-CT,none,11.0
2018,p58,o-g-s,none,662.0
2018,p63,CoalOldScr,none,600.0
2018,p63,CoalOldUns,none,1208.0
2018,p63,coal-new,none,600.0
2018,p67,lfill-gas,none,11.899999999999999
2018,p70,gas-CT,none,8.1
2018,p70,o-g-s,none,112.0
2018,p71,gas-CT,none,17.6
2018,p73,gas-CT,none,1.0
2018,p75,CoalOldUns,none,210.0
2018,p79,coal-new,none,1188.0
2018,p79,gas-CT,none,2.0
2018,p80,gas-CT,none,2.2
2018,p80,lfill-gas,none,18.8
2018,p87,gas-CT,none,50.900000000000006
2018,p87,o-g-s,none,808.5
2018,p9,biopower,none,50.9
2018,p9,lfill-gas,none,2.6
2018,p92,CoalOldUns,none,741.0
2018,p95,hydro,none,16.8
2018,p96,gas-CT,none,49.0
2018,p96,hydro,none,26.999999999999996
2018,p98,lfill-gas,none,1.1
2018,p99,gas-CT,none,1.5
2019,p10,gas-CT,none,118.5
2019,p10,lfill-gas,none,5.1
2019,p101,biopower,none,47.0
2019,p101,hydro,none,11.0
2019,p103,CoalOldUns,none,151.0
2019,p103,gas-CC,none,19.3
2019,p103,gas-CT,none,67.0
2019,p103,lfill-gas,none,64.39999999999999
2019,p107,gas-CT,none,65.0
2019,p108,coal-new,none,312.0
2019,p108,o-g-s,none,65.0
2019,p109,coal-new,none,272.0
2019,p109,gas-CT,none,14.0
2019,p11,lfill-gas,none,6.2
2019,p112,CoalOldScr,none,750.0
2019,p112,gas-CT,none,3.0
2019,p112,lfill-gas,none,4.800000000000001
2019,p114,gas-CT,none,30.6
2019,p115,CoalOldScr,none,2510.0
2019,p116,CoalOldScr,none,50.0
2019,p122,CoalOldScr,none,155.0
2019,p122,lfill-gas,none,4.7
2019,p123,gas-CT,none,40.8
2019,p123,o-g-s,none,97.0
2019,p126,lfill-gas,none,10.0
2019,p126,o-g-s,none,150.0
2019,p127,biopower,none,19.0
2019,p127,coal-new,none,305.0
2019,p127,gas-CT,none,30.8
2019,p127,lfill-gas,none,4.800000000000001
2019,p131,gas-CT,none,5.8
2019,p131,hydro,none,0.7
2019,p132,hydro,none,2.8
2019,p134,biopower,none,69.0
2019,p134,gas-CT,none,2.0
2019,p25,CoalOldUns,none,75.0
2019,p28,coal-new,none,1500.0
